,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L01779.1,0,0,0,0,0,0,0,0,0
Eucgr.L01780.1,0,0,0,0,0,0,0,0,0
Eucgr.L02590.1,0,0,0,0,0,0,0,0,0
Eucgr.L02509.1,16,6,17,21,18,35,18,10,33
Eucgr.L02510.1,0,0,0,0,0,0,0,0,0
Eucgr.L02920.1,136,162,169,164,95,277,254,469,549
Eucgr.L03693.1,3,32,3,23,18,29,57,10,90
Eucgr.L03510.1,624,49,658,755,640,827,608,371,592
Eucgr.L03124.1,1,4,1,2,6,3,2,0,1
Eucgr.L01182.1,0,0,0,0,0,0,0,0,0
Eucgr.L01189.1,1328,772,1571,656,443,651,1537,1694,1261
Eucgr.L01185.1,1,1,5,1,0,2,5,36,36
Eucgr.L01186.1,6,2,2,2,0,0,4,34,57
Eucgr.L01183.1,0,0,0,0,0,0,0,0,0
Eucgr.L02396.1,185,212,237,66,66,60,162,180,218
Eucgr.L02863.1,63,72,58,15,14,9,40,46,8
Eucgr.L02941.1,40,31,61,1,1,0,100,0,0
Eucgr.L01759.1,28,5,13,5,4,8,25,1,12
Eucgr.L01819.1,12,24,16,43,38,31,73,64,29
Eucgr.L03187.1,108,166,113,42,44,46,97,101,35
Eucgr.L03030.1,5,0,8,0,0,0,3,0,0
Eucgr.L03276.1,0,0,0,0,0,0,0,0,0
Eucgr.L02135.1,0,0,2,89,77,130,3,133,50
Eucgr.L00421.1,0,0,0,0,0,0,0,0,0
Eucgr.L00425.1,0,0,0,0,0,0,0,0,0
Eucgr.L00429.1,41,46,43,5,9,22,35,23,61
Eucgr.L00427.1,4,0,10,3,1,0,8,0,1
Eucgr.L00423.1,70,76,46,0,0,0,40,21,41
Eucgr.L00426.1,1,0,0,0,0,0,5,0,0
Eucgr.L02166.1,0,0,0,0,0,0,0,0,0
Eucgr.L02167.1,39,155,68,65,69,74,85,48,94
Eucgr.L03583.1,0,12,8,8,0,3,12,0,12
Eucgr.L02760.1,28,34,28,35,15,55,24,15,42
Eucgr.L03485.1,216,259,246,112,113,147,440,107,264
Eucgr.L00629.1,70,15,97,44,30,70,16,11,50
Eucgr.L00628.1,77,261,115,187,126,157,267,232,72
Eucgr.L00615.1,44,18,18,43,53,65,136,284,260
Eucgr.L00613.1,0,0,0,0,0,0,0,0,0
Eucgr.L00624.1,0,0,1,0,0,0,0,0,19
Eucgr.L00623.1,0,0,0,0,0,0,0,0,0
Eucgr.L00618.1,0,0,0,0,0,0,0,0,0
Eucgr.L00617.1,2,0,0,1,1,2,0,1,0
Eucgr.L00626.1,0,0,0,0,0,0,0,0,5
Eucgr.L00627.1,1097,2456,1366,1680,1395,1500,2435,2912,3189
Eucgr.L00621.1,0,0,0,0,0,0,0,0,0
Eucgr.L00614.1,0,0,0,0,0,0,0,0,0
Eucgr.L00625.1,0,0,0,0,0,0,0,0,0
Eucgr.L00616.1,3,2,4,2,5,2,8,5,0
Eucgr.L01783.1,0,4,0,0,0,0,0,0,0
Eucgr.L02364.1,0,0,0,1,0,0,0,0,0
Eucgr.L02094.1,0,0,0,0,0,0,0,0,0
Eucgr.L02095.1,0,0,0,0,0,0,0,0,0
Eucgr.L02096.1,5,13,5,8,19,11,19,6,29
Eucgr.L02206.1,0,10,0,1,0,0,26,0,7
Eucgr.L02207.1,0,1,0,0,0,0,0,0,0
Eucgr.L03602.1,0,0,0,0,0,0,0,0,0
Eucgr.L01352.1,4,0,15,4,5,8,0,8,15
Eucgr.L02105.1,0,0,0,0,0,0,0,0,4
Eucgr.L03695.1,0,0,0,0,0,0,1,0,1
Eucgr.L01634.1,0,0,0,0,0,0,0,0,0
Eucgr.L02664.1,0,0,0,1,0,1,27,1,0
Eucgr.L01911.1,8,3,6,6,14,7,7,6,1
Eucgr.L01909.1,26,23,15,48,48,47,56,54,94
Eucgr.L01910.1,2,2,3,2,1,0,3,1,1
Eucgr.L03655.1,9,11,5,7,6,6,3,7,23
Eucgr.L02880.1,0,0,0,0,0,0,0,0,0
Eucgr.E02467.1,314,326,420,934,728,903,274,311,571
Eucgr.E03370.1,421,815,321,787,618,829,1063,570,850
Eucgr.E00299.1,0,0,0,0,0,1,2,0,0
Eucgr.E00367.1,276,281,280,210,171,176,186,168,224
Eucgr.E00882.1,156,196,148,191,168,277,203,192,171
Eucgr.E02828.1,0,0,0,1,0,1,0,0,0
Eucgr.E03877.1,3,0,0,0,4,0,56,22,55
Eucgr.E01029.1,2,22,2,13,7,32,1,7,10
